age,educ,competition,lrscale,country,sex,secular,emancipative
22,7,5,7,12. Algeria,2. Female,.456945,.43
32,2,2,8,12. Algeria,2. Female,.324888,.093583
32,2,5,8,12. Algeria,1. Male,.445568,.278583
32,2,4,8,12. Algeria,1. Male,.401389,.138056
41,3,2,8,12. Algeria,1. Male,.400834,.203148
55,No formal education,4,9,12. Algeria,1. Male,.361977,.283268
19,4,5,8,12. Algeria,1. Male,.401389,.448518
22,4,5,5,12. Algeria,1. Male,.516478,.32572
23,7,2,7,12. Algeria,2. Female,.332222,.409028
38,2,5,7,12. Algeria,1. Male,.373889,.221389
44,No formal education,6,6,12. Algeria,1. Male,.414723,.203148
23,2,8,6,12. Algeria,2. Female,.401389,.2775
25,3,competition is good,5,12. Algeria,1. Male,.346389,.282407
27,5,4,5,12. Algeria,2. Female,.415555,.5125
29,7,6,5,12. Algeria,1. Male,.36,.249583
37,6,competition is good,right,12. Algeria,2. Female,.125,.189259
40,6,6,5,12. Algeria,1. Male,.327444,.559074
41,6,2,5,12. Algeria,1. Male,.236565,.207917
41,3,5,5,12. Algeria,2. Female,.333056,.249166
53,6,8,5,12. Algeria,1. Male,.346389,.416667
47,2,competition is good,5,12. Algeria,2. Female,.293068,.275518
52,2,8,6,12. Algeria,2. Female,.457222,.518241
24,3,5,8,12. Algeria,2. Female,.220834,.262917
33,6,competition is good,8,12. Algeria,1. Male,.401667,.211574
45,3,competition is good,5,12. Algeria,1. Male,.360833,.429028
73,No formal education,competition is good,5,12. Algeria,1. Male,.525833,.359722
50,No formal education,3,8,12. Algeria,2. Female,.498333,.374166
19,6,3,5,12. Algeria,2. Female,.336584,.290972
21,8,3,8,12. Algeria,2. Female,.224917,.470834
31,2,competition is good,6,12. Algeria,2. Female,.360833,.22125
33,6,3,right,12. Algeria,1. Male,.388333,.457083
44,2,competition is good,6,12. Algeria,1. Male,.12825,.366667
22,8,competition is good,5,12. Algeria,1. Male,.165833,.242083
22,8,competition is good,5,12. Algeria,1. Male,.221667,.37375
24,8,6,5,12. Algeria,2. Female,.138333,.388056
44,2,competition is good,6,12. Algeria,1. Male,.110833,.327871
58,6,competition is good,left,12. Algeria,1. Male,.2775,.254213
19,7,7,7,12. Algeria,2. Female,.5675,.326111
19,8,7,6,12. Algeria,1. Male,.275834,.18
23,2,4,5,12. Algeria,1. Male,.485,.254352
24,6,competition is good,4,12. Algeria,2. Female,.526389,.449074
32,University level,2,3,12. Algeria,2. Female,.540834,.376759
34,6,7,6,12. Algeria,1. Male,.386667,.310185
46,2,7,6,12. Algeria,2. Female,.456667,.272593
49,2,8,7,12. Algeria,1. Male,.5125,.387917
50,No formal education,8,4,12. Algeria,2. Female,.486565,.211713
74,No formal education,7,7,12. Algeria,1. Male,.430732,.33875
21,6,4,5,12. Algeria,2. Female,.317778,.47456
44,2,8,4,12. Algeria,2. Female,.500732,.36
59,No formal education,9,6,12. Algeria,2. Female,.49619,.255833
60,No formal education,competition is good,5,12. Algeria,1. Male,.318334,.504611
20,3,3,6,12. Algeria,2. Female,.3875,.402778
21,3,7,7,12. Algeria,1. Male,.693333,.411482
23,2,8,3,12. Algeria,2. Female,.568333,.402361
32,2,7,5,12. Algeria,1. Male,.527954,.632871
37,University level,competition is good,6,12. Algeria,2. Female,.498333,.472986
45,4,2,7,12. Algeria,1. Male,.623333,.381944
61,No formal education,4,4,12. Algeria,2. Female,.459065,.46662
64,No formal education,3,7,12. Algeria,1. Male,.290556,.433796
48,2,7,4,12. Algeria,2. Female,.580834,.453287
24,7,3,8,12. Algeria,1. Male,.404583,.335093
34,6,6,5,12. Algeria,2. Female,.417954,.272593
44,7,competition is harmful,left,12. Algeria,1. Male,.628922,.605648
48,University level,6,4,12. Algeria,2. Female,.332398,.226296
18,6,2,2,12. Algeria,2. Female,.19775,.22325
19,2,7,left,12. Algeria,1. Male,.485,.248438
22,2,competition is good,5,12. Algeria,2. Female,.47475,.348667
24,7,competition is good,6,12. Algeria,1. Male,.248333,.244259
35,University level,competition is good,9,12. Algeria,1. Male,.316746,.142963
52,2,competition is harmful,7,12. Algeria,2. Female,.369523,.254352
66,No formal education,5,5,12. Algeria,1. Male,.609167,.351852
46,2,7,5,12. Algeria,1. Male,.536651,.300093
19,7,competition is good,5,12. Algeria,1. Male,.429167,.179861
22,7,competition is good,5,12. Algeria,2. Female,.345834,.365185
23,8,3,5,12. Algeria,1. Male,.124167,.217315
25,2,8,6,12. Algeria,1. Male,.36,.518241
31,University level,competition is good,6,12. Algeria,1. Male,.138333,.3125
43,7,3,5,12. Algeria,1. Male,.3325,.087546
23,3,2,6,12. Algeria,2. Female,.401389,.0825
26,2,competition is good,5,12. Algeria,1. Male,.360834,.184352
27,6,competition is good,6,12. Algeria,2. Female,.304167,.472667
30,7,2,5,12. Algeria,2. Female,.527222,.221111
43,University level,competition is good,4,12. Algeria,1. Male,.318334,.170602
21,8,5,5,12. Algeria,2. Female,.429167,.29125
28,2,competition is good,5,12. Algeria,1. Male,.415556,.508704
42,7,competition is good,5,12. Algeria,2. Female,.5730420000000001,.405991
46,7,competition is good,4,12. Algeria,1. Male,.373056,.177269
32,University level,8,5,12. Algeria,2. Female,.332777,.346667
45,7,6,5,12. Algeria,2. Female,.296167,.138333
45,2,competition is good,6,12. Algeria,1. Male,.455875,.410926
48,5,competition is good,6,12. Algeria,1. Male,.207778,.31275
32,7,4,4,12. Algeria,2. Female,.235833,.198102
47,2,competition is good,5,12. Algeria,2. Female,.235,.221667
24,8,8,9,12. Algeria,2. Female,.221667,.480648
24,University level,3,8,12. Algeria,2. Female,.378875,.5500930000000001
38,2,7,5,12. Algeria,1. Male,.360079,.392547
41,2,8,right,12. Algeria,1. Male,.385635,.281157
55,2,6,9,12. Algeria,1. Male,.278889,.098815
18,6,competition is good,right,12. Algeria,1. Male,.388334,.454769
21,3,8,5,12. Algeria,1. Male,.442223,.290972
31,3,4,7,12. Algeria,1. Male,.0275,.277222
33,3,competition is good,5,12. Algeria,2. Female,.3875,.357963
40,2,competition is good,7,12. Algeria,2. Female,.263333,.135852
45,2,5,7,12. Algeria,1. Male,.2625,.17088
23,7,2,6,12. Algeria,2. Female,.345834,.455046
48,No formal education,3,6,12. Algeria,1. Male,.275833,.078278
61,No formal education,2,8,12. Algeria,2. Female,.342167,.2282
30,2,competition is harmful,8,12. Algeria,1. Male,.304167,.378519
42,2,3,7,12. Algeria,1. Male,0,.117778
60,No formal education,5,9,12. Algeria,1. Male,.124167,.286695
23,3,competition is good,5,12. Algeria,2. Female,.498333,.494398
29,5,7,7,12. Algeria,1. Male,.406667,.088
31,University level,competition is good,5,12. Algeria,1. Male,.624167,.133704
48,6,competition is good,right,12. Algeria,1. Male,.515667,.082778
36,5,6,6,12. Algeria,1. Male,.482507,.11104
52,7,competition is good,8,12. Algeria,1. Male,.489,.32875
59,6,competition is good,7,12. Algeria,1. Male,.61188,.138611
19,6,2,7,12. Algeria,1. Male,.152222,.111111
23,8,competition is good,6,12. Algeria,2. Female,.29,.391361
31,2,competition is good,5,12. Algeria,1. Male,.263056,.217037
42,6,competition is good,8,12. Algeria,1. Male,.097222,.273148
57,No formal education,competition is good,7,12. Algeria,1. Male,0,.304861
18,6,8,right,12. Algeria,2. Female,.406667,.400472
18,4,6,7,12. Algeria,1. Male,.276667,.18463
18,2,6,right,12. Algeria,2. Female,.447443,.147462
26,8,2,9,12. Algeria,2. Female,.429445,.221667
29,4,3,8,12. Algeria,2. Female,.084167,.138333
38,2,4,7,12. Algeria,2. Female,.498889,.244676
47,3,5,9,12. Algeria,1. Male,.220556,.392547
55,2,3,9,12. Algeria,2. Female,.112222,.43958
58,No formal education,4,9,12. Algeria,2. Female,.397167,.308471
21,8,competition is good,5,12. Algeria,2. Female,.553611,.5336109999999999
21,8,competition is good,5,12. Algeria,2. Female,.4575,.328009
24,8,5,5,12. Algeria,2. Female,.4425,.405537
51,6,competition is good,5,12. Algeria,2. Female,.484167,.4225
33,University level,competition is good,3,12. Algeria,1. Male,.456389,.226296
55,5,competition is good,2,12. Algeria,1. Male,.248333,.276944
25,4,competition is good,6,12. Algeria,2. Female,.444445,.374583
55,6,competition is good,left,12. Algeria,1. Male,.207222,.323796
27,3,3,8,12. Algeria,2. Female,.443333,.332777
28,3,3,5,12. Algeria,1. Male,.360833,.260602
32,University level,3,7,12. Algeria,2. Female,.551315,.425509
33,4,3,8,12. Algeria,2. Female,.466444,.41225
42,2,4,7,12. Algeria,1. Male,.406375,.402222
55,2,7,right,12. Algeria,1. Male,.332778,.158407
20,2,2,3,12. Algeria,1. Male,.5675,.471667
22,8,6,4,12. Algeria,2. Female,.609167,.480232
44,2,5,6,12. Algeria,1. Male,.609167,.406852
18,4,2,5,12. Algeria,1. Male,.546276,.490047
35,4,5,5,12. Algeria,1. Male,.511667,.454039
40,2,3,6,12. Algeria,2. Female,.304444,.348287
45,6,9,6,12. Algeria,1. Male,.443333,.226158
20,7,competition is good,3,12. Algeria,2. Female,.179445,.249028
57,No formal education,5,5,12. Algeria,1. Male,.605083,.320926
18,3,5,5,12. Algeria,2. Female,.526389,.402935
42,7,7,3,12. Algeria,1. Male,.276945,.422222
52,No formal education,7,7,12. Algeria,1. Male,.305,.242361
52,University level,competition is good,8,12. Algeria,2. Female,.25,.699231
60,4,competition is good,7,12. Algeria,1. Male,.249167,.32787
19,2,2,4,12. Algeria,1. Male,.568056,.408889
39,2,7,7,12. Algeria,1. Male,.428334,.274074
18,6,3,right,12. Algeria,1. Male,.111111,.499167
20,8,2,5,12. Algeria,2. Female,.435763,.554028
22,3,3,3,12. Algeria,1. Male,.640846,.478333
23,3,3,4,12. Algeria,2. Female,.5574170000000001,.467176
35,3,2,5,12. Algeria,1. Male,.352833,.416111
23,8,competition is harmful,9,12. Algeria,1. Male,.4025,.188667
33,3,3,4,12. Algeria,1. Male,.525556,.457361
42,2,8,8,12. Algeria,1. Male,.346667,.318889
30,6,3,8,12. Algeria,2. Female,.365648,.443195
26,8,8,right,12. Algeria,1. Male,.3725,.318334
28,3,7,right,12. Algeria,2. Female,.401667,.306759
29,6,2,5,12. Algeria,1. Male,.2625,.04125
30,3,8,right,12. Algeria,2. Female,.387222,.290833
30,7,5,2,12. Algeria,1. Male,.415,.290694
35,6,8,5,12. Algeria,2. Female,.303889,.18
44,6,9,9,12. Algeria,2. Female,.318334,.429584
44,3,7,8,12. Algeria,1. Male,.276667,.325417
52,No formal education,3,4,12. Algeria,1. Male,.304167,.346667
62,No formal education,5,right,12. Algeria,2. Female,.374167,.225879
28,University level,7,6,12. Algeria,2. Female,.443056,.326759
33,3,8,5,12. Algeria,1. Male,.258458,.3875
37,5,3,7,12. Algeria,2. Female,.386389,.394167
40,2,7,4,12. Algeria,1. Male,.2625,.143102
40,3,6,3,12. Algeria,2. Female,.415555,.235833
56,No formal education,7,8,12. Algeria,1. Male,.152222,.200417
62,No formal education,4,5,12. Algeria,2. Female,.400833,.493704
19,6,2,6,12. Algeria,2. Female,.314815,.499444
22,8,3,8,12. Algeria,1. Male,.388519,.320204
22,8,3,6,12. Algeria,2. Female,.373889,.37375
24,6,4,6,12. Algeria,1. Male,.497625,.472611
42,2,3,9,12. Algeria,1. Male,.386945,.240185
32,3,7,8,12. Algeria,1. Male,.429167,.411204
58,2,competition is harmful,8,12. Algeria,2. Female,.455079,.384467
22,8,5,5,12. Algeria,2. Female,.415125,.435972
22,3,9,7,12. Algeria,1. Male,.493259,.222579
22,6,4,7,12. Algeria,2. Female,.462593,.249444
38,2,5,8,12. Algeria,2. Female,.470833,.318889
39,7,5,7,12. Algeria,1. Male,.387778,.235278
39,5,5,9,12. Algeria,2. Female,.444167,.387361
40,3,8,8,12. Algeria,2. Female,.425556,.345972
40,2,7,8,12. Algeria,1. Male,.431833,.299954
50,3,5,7,12. Algeria,1. Male,.221111,.221389
30,University level,competition is good,5,12. Algeria,2. Female,.193333,.34162
44,6,competition is good,7,12. Algeria,1. Male,.293333,.187533
56,6,5,5,12. Algeria,1. Male,.403809,.187533
64,3,competition is good,5,12. Algeria,1. Male,.38619,.093583
22,8,competition is good,5,12. Algeria,1. Male,.366031,.0842
34,University level,competition is good,6,12. Algeria,1. Male,.498333,.0842
52,5,competition is good,5,12. Algeria,1. Male,.58119,.203704
27,7,9,right,12. Algeria,2. Female,.456667,.470834
38,3,7,4,12. Algeria,1. Male,.581667,.147667
74,No formal education,5,5,12. Algeria,1. Male,.25,.526667
27,3,9,right,12. Algeria,2. Female,.57956,.547801
64,2,competition is harmful,right,12. Algeria,1. Male,.442778,.444167
22,8,competition is good,6,12. Algeria,2. Female,.2775,.395417
37,3,competition is good,7,12. Algeria,1. Male,0,.207917
47,University level,competition is good,7,12. Algeria,1. Male,.041667,.270416
18,6,competition is good,4,12. Algeria,1. Male,.221667,.290833
24,3,9,6,12. Algeria,1. Male,.304167,.277084
42,3,7,4,12. Algeria,1. Male,.471667,.567917
37,2,5,4,12. Algeria,2. Female,.169917,.35375
49,2,competition is good,right,12. Algeria,2. Female,.208334,.222222
41,University level,2,7,12. Algeria,1. Male,.3325,.605648
37,3,2,8,12. Algeria,1. Male,.096667,.219074
30,6,3,9,12. Algeria,2. Female,.345833,.179583
44,3,9,7,12. Algeria,1. Male,.185333,.537037
71,No formal education,2,6,12. Algeria,1. Male,.43325,.235695
23,3,3,9,12. Algeria,1. Male,.6525,.478333
24,3,3,8,12. Algeria,2. Female,.5574170000000001,.467176
37,2,2,8,12. Algeria,1. Male,.2695,.416111
22,2,5,right,12. Algeria,2. Female,.456667,.249583
32,6,competition is good,right,12. Algeria,1. Male,.11,.499167
43,3,2,7,12. Algeria,2. Female,.375,.342176
46,6,3,right,12. Algeria,1. Male,.359167,.491667
20,6,4,8,12. Algeria,1. Male,.130333,.145417
22,8,4,7,12. Algeria,2. Female,.429445,.373611
45,2,competition is good,7,12. Algeria,1. Male,.319167,.235695
25,University level,competition is good,5,12. Algeria,2. Female,.2075,.221667
29,University level,6,6,12. Algeria,1. Male,.373056,.482824
52,6,competition is good,5,12. Algeria,1. Male,.2155,.270416
33,University level,competition is good,5,12. Algeria,1. Male,.622,.230926
44,5,3,7,12. Algeria,1. Male,.328253,.0842
21,4,3,8,12. Algeria,2. Female,.46075,.574074
24,4,3,5,12. Algeria,2. Female,.473167,.255083
24,University level,8,4,12. Algeria,1. Male,.498334,.110556
27,3,4,8,12. Algeria,2. Female,.230222,.514537
30,University level,5,7,12. Algeria,2. Female,.36,.318611
39,2,4,5,12. Algeria,1. Male,.396889,.278843
46,4,5,7,12. Algeria,1. Male,.36,.281296
53,2,5,5,12. Algeria,1. Male,.304445,.193611
18,4,3,5,12. Algeria,1. Male,.474278,.463333
24,4,7,4,12. Algeria,1. Male,.526111,.286482
36,2,3,4,12. Algeria,1. Male,.415278,.353861
39,University level,4,8,12. Algeria,2. Female,.401667,.471945
41,2,4,7,12. Algeria,1. Male,.388519,.336713
47,3,2,7,12. Algeria,2. Female,.456945,.438287
48,3,2,7,12. Algeria,2. Female,.498611,.27162
57,No formal education,5,5,12. Algeria,1. Male,.535556,.360694
26,3,8,5,12. Algeria,1. Male,.511792,.430667
33,University level,2,4,12. Algeria,2. Female,.7483340000000001,.606482
54,University level,competition is good,8,12. Algeria,1. Male,.5966669999999999,.536204
58,University level,competition is good,7,12. Algeria,1. Male,.5275,.386882
76,No formal education,competition is harmful,right,12. Algeria,1. Male,.295555,.547083
20,8,8,right,12. Algeria,2. Female,.76625,.45124
25,University level,3,7,12. Algeria,1. Male,.3325,.388472
40,4,3,4,12. Algeria,1. Male,.281,.394953
42,3,3,8,12. Algeria,2. Female,.374445,.258704
50,2,3,9,12. Algeria,1. Male,.36,.415556
58,2,3,7,12. Algeria,2. Female,.401389,.40125
65,No formal education,3,7,12. Algeria,2. Female,.361945,.355232
18,6,2,8,12. Algeria,1. Male,.125,.272732
19,7,5,6,12. Algeria,1. Male,.543167,.429167
20,7,3,6,12. Algeria,1. Male,.415,.547917
24,University level,competition is good,6,12. Algeria,1. Male,.221944,.501898
31,University level,8,5,12. Algeria,1. Male,.193333,.376898
36,6,2,6,12. Algeria,2. Female,.260833,.559213
40,7,6,3,12. Algeria,1. Male,.318889,.427269
30,University level,5,5,12. Algeria,1. Male,.54,.450833
43,3,4,7,12. Algeria,1. Male,.6557500000000001,.521833
50,2,5,7,12. Algeria,2. Female,.443333,.346389
39,2,competition is good,right,12. Algeria,1. Male,0,.415833
46,6,competition is good,9,12. Algeria,1. Male,.205472,.505
24,University level,competition is good,right,12. Algeria,1. Male,.166667,.124583
23,4,competition is good,5,12. Algeria,1. Male,.5125,.468657
24,2,8,5,12. Algeria,2. Female,.443333,.364184
27,8,competition is good,6,12. Algeria,2. Female,.457223,.263889
36,4,competition is good,6,12. Algeria,2. Female,.219917,.162037
37,3,5,5,12. Algeria,1. Male,.165556,.32338
44,7,5,5,12. Algeria,1. Male,.275833,.1865
22,8,4,5,12. Algeria,1. Male,.345834,.218518
29,No formal education,4,5,12. Algeria,1. Male,.27575,.196611
44,7,2,5,12. Algeria,1. Male,.235,.055
51,3,competition is good,left,12. Algeria,1. Male,.221667,.145833
52,7,5,5,12. Algeria,1. Male,.36,.215759
48,4,2,8,12. Algeria,1. Male,.177139,.287037
24,University level,competition is good,left,12. Algeria,2. Female,.37825,.431593
24,2,4,5,12. Algeria,2. Female,.1925,.256667
27,3,7,7,12. Algeria,1. Male,.276667,.1875
32,3,5,4,12. Algeria,1. Male,.248333,.34
57,7,9,8,12. Algeria,2. Female,.373611,.297083
59,5,6,7,12. Algeria,1. Male,.1925,.609167
44,7,competition is good,right,12. Algeria,2. Female,.227109,.422027
47,6,9,7,12. Algeria,2. Female,.2075,.359445
28,7,5,7,12. Algeria,1. Male,.289722,.179583
29,6,6,6,12. Algeria,2. Female,.318056,.208333
31,University level,3,6,12. Algeria,2. Female,.249167,.249584
33,2,3,5,12. Algeria,1. Male,.193889,.279676
42,3,7,7,12. Algeria,1. Male,.386389,.249167
44,No formal education,8,right,12. Algeria,2. Female,.360833,.16625
55,3,3,5,12. Algeria,1. Male,.290556,.217593
56,3,3,5,12. Algeria,1. Male,.263056,.290593
62,No formal education,5,5,12. Algeria,2. Female,.207222,.2625
26,7,9,5,12. Algeria,1. Male,.260472,.291667
22,University level,5,5,12. Algeria,2. Female,.359722,.36
25,6,competition is good,6,12. Algeria,1. Male,.5125,.276667
26,3,5,left,12. Algeria,1. Male,.345833,.165
33,3,competition is good,7,12. Algeria,2. Female,.206667,.165833
34,7,3,right,12. Algeria,1. Male,.4425,.221667
40,3,competition is good,2,12. Algeria,1. Male,.2625,.331667
44,6,competition is good,3,12. Algeria,2. Female,.345,.28213
62,No formal education,competition is good,2,12. Algeria,2. Female,.443056,.193611
21,6,competition is harmful,2,12. Algeria,2. Female,.263333,.22125
55,No formal education,6,4,12. Algeria,1. Male,.317222,.267685
45,3,competition is good,right,12. Algeria,2. Female,.041667,.35375
23,8,5,9,12. Algeria,2. Female,.375,.165833
46,No formal education,competition is good,2,12. Algeria,1. Male,.110833,.318
65,3,competition is good,3,12. Algeria,1. Male,.208334,.406574
38,6,competition is good,9,12. Algeria,1. Male,.179722,.437083
48,3,competition is harmful,3,12. Algeria,2. Female,.151667,.234167
75,No formal education,competition is good,right,12. Algeria,1. Male,.442417,.165833
24,8,competition is harmful,7,12. Algeria,2. Female,.443333,.4575
44,3,4,5,12. Algeria,1. Male,.318889,.415694
76,No formal education,2,7,12. Algeria,1. Male,.262222,.415833
34,7,competition is good,4,12. Algeria,2. Female,.526389,.285648
25,University level,competition is good,4,12. Algeria,1. Male,.415,.276806
70,4,2,7,12. Algeria,1. Male,.6225000000000001,.397732
44,2,6,9,12. Algeria,1. Male,.193889,.101574
48,2,3,6,12. Algeria,2. Female,.125,.201389
58,No formal education,competition is good,7,12. Algeria,1. Male,.54,.427269
59,No formal education,3,7,12. Algeria,1. Male,.055,.128416
63,No formal education,7,5,12. Algeria,2. Female,.258556,.180157
30,6,6,4,12. Algeria,1. Male,.290556,.459259
19,2,2,5,12. Algeria,1. Male,.5675,.385333
45,2,6,4,12. Algeria,1. Male,.484167,.38175
20,3,2,5,12. Algeria,1. Male,.305,.234861
22,3,5,7,12. Algeria,2. Female,.248333,.262917
33,2,competition is good,right,12. Algeria,1. Male,.370818,.211574
41,3,competition is good,5,12. Algeria,2. Female,.4025,.309787
44,3,competition is good,5,12. Algeria,1. Male,.360833,.429028
50,No formal education,3,6,12. Algeria,2. Female,.548833,.708047
73,No formal education,competition is good,7,12. Algeria,1. Male,.525833,.359722
31,University level,5,left,12. Algeria,1. Male,.594208,.319961
34,3,2,8,12. Algeria,2. Female,.416667,.491667
42,2,4,7,12. Algeria,1. Male,.6557500000000001,.449
53,2,3,5,12. Algeria,2. Female,.485,.346389
22,5,9,left,12. Algeria,2. Female,.466792,.298111
31,7,7,left,12. Algeria,2. Female,.375,.284167
35,No formal education,4,3,12. Algeria,1. Male,.538917,.363967
37,No formal education,competition is good,right,12. Algeria,1. Male,.290834,.25162
55,2,5,5,12. Algeria,2. Female,.501287,.284042
70,6,6,3,12. Algeria,1. Male,.418068,.401806
30,3,7,4,12. Algeria,2. Female,.485301,.613653
30,No formal education,competition is good,left,12. Algeria,2. Female,.470833,.27162
37,University level,competition is good,5,12. Algeria,2. Female,.248611,.508287
43,8,2,left,12. Algeria,1. Male,.574831,.226296
46,5,competition is good,5,12. Algeria,2. Female,.36,.17537
22,6,4,7,12. Algeria,2. Female,.193889,.305
24,University level,5,right,12. Algeria,2. Female,.400556,.198102
26,3,6,6,12. Algeria,1. Male,.388472,.313843
33,6,8,6,12. Algeria,2. Female,.359722,.337685
34,4,7,6,12. Algeria,1. Male,.262222,.244259
42,7,5,6,12. Algeria,2. Female,.276667,.354333
42,5,5,7,12. Algeria,1. Male,.249166,.36
55,No formal education,8,9,12. Algeria,1. Male,.235,.34
66,No formal education,4,5,12. Algeria,2. Female,.2625,.29463
22,7,7,6,12. Algeria,1. Male,.331667,.217176
24,7,3,5,12. Algeria,2. Female,.303333,.262917
25,University level,4,5,12. Algeria,2. Female,.304722,.166667
32,3,2,5,12. Algeria,2. Female,.303889,.261088
35,3,5,5,12. Algeria,1. Male,.289722,.2075
45,3,4,6,12. Algeria,1. Male,.2625,.54
48,5,5,5,12. Algeria,2. Female,.262222,.270833
60,No formal education,2,7,12. Algeria,1. Male,.331389,.351435
62,No formal education,7,4,12. Algeria,2. Female,.303889,.165278
26,5,2,7,12. Algeria,1. Male,.248889,.366667
22,University level,4,5,12. Algeria,2. Female,.373889,.345695
29,University level,2,5,12. Algeria,1. Male,.1375,.174815
64,University level,competition is good,5,12. Algeria,1. Male,.319167,.290972
27,7,4,6,12. Algeria,2. Female,.318056,.165556
24,8,competition is good,5,12. Algeria,1. Male,.272167,.420311
28,8,competition is good,9,12. Algeria,1. Male,.111111,.4472
35,University level,3,6,12. Algeria,1. Male,.147778,.46062
30,3,competition is good,5,12. Algeria,1. Male,.421152,.297972
18,6,competition is good,6,12. Algeria,2. Female,.443333,.261296
21,4,7,8,12. Algeria,1. Male,.623333,.364352
23,2,8,7,12. Algeria,1. Male,.5958329999999999,.361759
24,6,7,7,12. Algeria,2. Female,.456667,.314259
34,University level,3,7,12. Algeria,2. Female,.5675,.30037
38,2,7,4,12. Algeria,1. Male,.527222,.283195
45,2,4,4,12. Algeria,2. Female,.456667,.355926
46,3,7,7,12. Algeria,1. Male,.511667,.327176
59,No formal education,7,3,12. Algeria,2. Female,.456667,.40588
72,No formal education,8,6,12. Algeria,1. Male,.554167,.424676
24,6,competition is harmful,9,12. Algeria,2. Female,.485834,.188667
32,6,3,8,12. Algeria,2. Female,.221667,.443195
35,2,3,4,12. Algeria,1. Male,.498056,.457361
45,2,8,8,12. Algeria,1. Male,.346667,.277222
23,8,3,8,12. Algeria,2. Female,.318889,.568055
38,3,2,6,12. Algeria,1. Male,.3245,.323519
49,6,competition is good,8,12. Algeria,1. Male,.083333,.199074
70,No formal education,competition is good,8,12. Algeria,1. Male,.5,.188704
19,6,9,5,12. Algeria,1. Male,.441583,.101435
22,3,2,right,12. Algeria,1. Male,.623333,.352778
38,3,2,8,12. Algeria,1. Male,.444444,.429722
42,2,2,9,12. Algeria,2. Female,.625,.540834
59,No formal education,3,8,12. Algeria,2. Female,.595,.637361
22,6,5,6,12. Algeria,2. Female,.421167,.442778
23,3,7,4,12. Algeria,1. Male,.374167,.249167
30,University level,5,5,12. Algeria,2. Female,.374167,.512917
33,6,2,8,12. Algeria,1. Male,.4425,.345833
41,3,competition is good,8,12. Algeria,2. Female,.276667,.395
43,6,5,7,12. Algeria,1. Male,.140846,.04125
20,6,competition is good,5,12. Algeria,2. Female,.317778,.344907
27,3,competition is good,left,12. Algeria,2. Female,.359167,.526667
62,2,2,5,12. Algeria,1. Male,.3325,.317917
24,8,2,5,12. Algeria,2. Female,.276792,.426417
32,7,6,5,12. Algeria,1. Male,.550262,.286361
47,3,2,6,12. Algeria,1. Male,.554167,.443241
55,2,7,5,12. Algeria,2. Female,.333334,.207639
63,No formal education,competition is good,5,12. Algeria,1. Male,.318334,.16162
23,3,competition is good,5,12. Algeria,1. Male,.206389,.214028
35,6,5,5,12. Algeria,1. Male,.610833,.429277
48,6,competition is good,left,12. Algeria,2. Female,.123889,.388472
22,3,competition is harmful,3,12. Algeria,2. Female,.363875,.371713
22,6,competition is harmful,3,12. Algeria,2. Female,.428334,.700556
41,7,competition is good,left,12. Algeria,2. Female,.151667,.457917
58,7,competition is good,right,12. Algeria,1. Male,.124167,.38287
